"Jahr","Alter","Geschlecht","qx"
1947,0,"M",0.086051
1947,1,"M",0.008201
1947,2,"M",0.004932
1947,3,"M",0.003341
1947,4,"M",0.00271
1947,5,"M",0.001983
1947,6,"M",0.001448
1947,7,"M",0.001654
1947,8,"M",0.001486
1947,9,"M",0.001032
1947,10,"M",0.001345
1947,11,"M",0.001628
1947,12,"M",0.001043
1947,13,"M",0.001079
1947,14,"M",0.001449
1947,15,"M",0.001677
1947,16,"M",0.001582
1947,17,"M",0.002314
1947,18,"M",0.002521
1947,19,"M",0.003117
1947,20,"M",0.003236
1947,21,"M",0.003088
1947,22,"M",0.003753
1947,23,"M",0.003816
1947,24,"M",0.003476
1947,25,"M",0.0033
1947,26,"M",0.003272
1947,27,"M",0.003715
1947,28,"M",0.003085
1947,29,"M",0.003056
1947,30,"M",0.003868
1947,31,"M",0.003289
1947,32,"M",0.003879
1947,33,"M",0.003254
1947,34,"M",0.00401
1947,35,"M",0.0033
1947,36,"M",0.004335
1947,37,"M",0.00439
1947,38,"M",0.005084
1947,39,"M",0.004882
1947,40,"M",0.005049
1947,41,"M",0.005
1947,42,"M",0.005775
1947,43,"M",0.006038
1947,44,"M",0.006369
1947,45,"M",0.007155
1947,46,"M",0.007985
1947,47,"M",0.008276
1947,48,"M",0.009564
1947,49,"M",0.009447
1947,50,"M",0.011287
1947,51,"M",0.011419
1947,52,"M",0.013625
1947,53,"M",0.013115
1947,54,"M",0.013058
1947,55,"M",0.016094
1947,56,"M",0.01839
1947,57,"M",0.018256
1947,58,"M",0.019049
1947,59,"M",0.020729
1947,60,"M",0.023206
1947,61,"M",0.024779
1947,62,"M",0.027189
1947,63,"M",0.028431
1947,64,"M",0.032255
1947,65,"M",0.03518
1947,66,"M",0.037686
1947,67,"M",0.039759
1947,68,"M",0.046328
1947,69,"M",0.050548
1947,70,"M",0.053121
1947,71,"M",0.05607
1947,72,"M",0.062863
1947,73,"M",0.072532
1947,74,"M",0.072084
1947,75,"M",0.086721
1947,76,"M",0.092739
1947,77,"M",0.102939
1947,78,"M",0.110995
1947,79,"M",0.12504
